energy_function,model_name,energy,time,lr,clamp_grads,patience,min_delta,x0_std,num_nodes,lr_cg,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,num_cg_modes,hidden_dims
Energy_Bond_LJ,GNN_Bond_LJ0.10_n400_d3,0.0413171760737896,7.40303111076355,0.05,0.1,20,1e-07,1.7716580629348755,400,0.005,20.0,1e-06,170.0,4.275340557098389,0.04393637180328369,40.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.10_n400_d3,-0.01988491415977478,7.9280712604522705,0.05,0.1,20,1e-07,1.7716580629348755,400,0.005,20.0,1e-06,297.0,7.5760345458984375,-0.014523484744131565,40.0,"[32, 16, 3]"
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023068398237228394,11.694897890090942,0.02,0.1,20,1e-06,1.7716580629348755,400,,,,,,,,
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.023032277822494507,18.007901430130005,0.02,0.1,20,1e-06,1.7716580629348755,400,0.02,20.0,9.999999999999999e-06,757.0,14.962737083435059,-0.022128799930214882,,
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,0.019748874008655548,21.888598203659058,0.02,0.1,20,1e-06,1.7716580629348755,400,0.002,20.0,9.999999999999999e-06,767.0,18.780227184295654,0.019914591684937477,133.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.023044291883707047,11.82638931274414,0.02,0.1,20,1e-06,1.7716580629348755,400,0.002,20.0,9.999999999999999e-06,461.0,11.469707727432251,-0.023007279261946678,133.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.25_n400_d3,-0.0014323292998597026,14.91607403755188,0.02,0.1,20,1e-06,1.7716580629348755,400,0.02,20.0,9.999999999999999e-06,440.0,9.085244178771973,0.0017240459565073252,,
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,0.01972266659140587,20.59602403640747,0.02,0.1,20,1e-06,1.7716580629348755,400,0.002,20.0,9.999999999999999e-06,607.0,14.691482305526733,0.020050067454576492,100.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.0017727473750710487,17.43702983856201,0.02,0.1,20,1e-06,1.7716580629348755,400,0.002,20.0,9.999999999999999e-06,466.0,11.580326795578003,-0.0015204353258013725,100.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,-0.023122776299715042,15.552830457687378,0.02,0.1,20,1e-06,1.7716580629348755,400,0.02,20.0,9.999999999999999e-06,596.0,12.44342303276062,-0.0206771157681942,,
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.023073364049196243,17.939748525619507,0.02,0.1,20,1e-06,1.7716580629348755,400,0.002,20.0,9.999999999999999e-06,611.0,14.836974859237671,-0.022696327418088913,80.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.02311725728213787,15.055377960205078,0.02,0.1,20,1e-06,1.7716580629348755,400,0.002,20.0,9.999999999999999e-06,468.0,11.889221429824829,-0.023013317957520485,80.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.10_n400_d3,0.0003450452641118318,8.84402060508728,0.02,0.1,20,1e-06,1.7716580629348755,400,0.02,20.0,9.999999999999999e-06,265.0,5.782970428466797,0.005140012130141258,,
Energy_Bond_LJ,GNN_Bond_LJ0.10_n400_d3,-0.023124897852540016,18.404833555221558,0.02,0.1,20,1e-06,1.7716580629348755,400,0.002,20.0,9.999999999999999e-06,615.0,15.264601945877075,-0.022860674187541008,40.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.10_n400_d3,-0.023202860727906227,17.42099356651306,0.02,0.1,20,1e-06,1.7716580629348755,400,0.002,20.0,9.999999999999999e-06,464.0,11.595033645629883,-0.02307579107582569,40.0,"[32, 16, 3]"
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023063715547323227,11.69970703125,0.02,0.1,20,1e-07,1.7716580629348755,400,,,,,,,,
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.022961245849728584,19.216269493103027,0.02,0.1,20,1e-07,1.7716580629348755,400,0.02,20.0,1e-06,816.0,16.181934595108032,-0.021704720333218575,,
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.023043546825647354,18.307628631591797,0.02,0.1,20,1e-07,1.7716580629348755,400,0.002,20.0,1e-06,620.0,15.091543674468994,-0.022463470697402954,133.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.02321079932153225,18.08121919631958,0.02,0.1,20,1e-07,1.7716580629348755,400,0.002,20.0,1e-06,607.0,14.985456705093384,-0.023103853687644005,133.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.25_n400_d3,-0.001446429407224059,19.31407618522644,0.02,0.1,20,1e-07,1.7716580629348755,400,0.02,20.0,1e-06,642.0,13.348847150802612,0.0008728828397579491,,
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,0.019714662805199623,20.943092346191406,0.02,0.1,20,1e-07,1.7716580629348755,400,0.002,20.0,1e-06,618.0,15.012125730514526,0.02033446729183197,100.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.02312682755291462,14.6866455078125,0.02,0.1,20,1e-07,1.7716580629348755,400,0.002,20.0,1e-06,463.0,11.567421913146973,-0.02298646979033947,100.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,-0.02320924587547779,17.76900887489319,0.02,0.1,20,1e-07,1.7716580629348755,400,0.02,20.0,1e-06,589.0,11.867834091186523,-0.020710023120045662,,
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.023154256865382195,13.988591432571411,0.02,0.1,20,1e-07,1.7716580629348755,400,0.002,20.0,1e-06,320.0,8.046112298965454,-0.020297754555940628,80.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.023045165464282036,11.632746934890747,0.02,0.1,20,1e-07,1.7716580629348755,400,0.002,20.0,1e-06,453.0,11.278509616851807,-0.022941991686820984,80.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.10_n400_d3,0.00013962840603198856,16.247114419937134,0.02,0.1,20,1e-07,1.7716580629348755,400,0.02,20.0,1e-06,766.0,15.655751705169678,0.0048980447463691235,,
Energy_Bond_LJ,GNN_Bond_LJ0.10_n400_d3,0.04127195104956627,20.00414514541626,0.02,0.1,20,1e-07,1.7716580629348755,400,0.002,20.0,1e-06,768.0,19.648852109909058,0.041307829320430756,40.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.10_n400_d3,-0.023068923503160477,12.017391920089722,0.02,0.1,20,1e-07,1.7716580629348755,400,0.002,20.0,1e-06,464.0,11.657065153121948,-0.0230106208473444,40.0,"[32, 16, 3]"
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023172499611973763,17.484383821487427,0.01,0.1,20,1e-06,1.7716580629348755,400,,,,,,,,
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.02326793037354946,19.27923035621643,0.01,0.1,20,1e-06,1.7716580629348755,400,0.01,20.0,9.999999999999999e-06,689.0,13.43966555595398,-0.022639939561486244,,
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,0.01976323500275612,17.953389406204224,0.01,0.1,20,1e-06,1.7716580629348755,400,0.001,20.0,9.999999999999999e-06,616.0,14.853935718536377,0.02004622295498848,133.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.023118233308196068,14.724360704421997,0.01,0.1,20,1e-06,1.7716580629348755,400,0.001,20.0,9.999999999999999e-06,465.0,11.616637229919434,-0.022827042266726494,133.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.25_n400_d3,-0.0014484899584203959,14.450184345245361,0.01,0.1,20,1e-06,1.7716580629348755,400,0.01,20.0,9.999999999999999e-06,552.0,11.364529132843018,0.0016189744928851724,,
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.02316196821630001,24.447490215301514,0.01,0.1,20,1e-06,1.7716580629348755,400,0.001,20.0,9.999999999999999e-06,769.0,18.54029679298401,-0.022832730785012245,100.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.023195432499051094,20.62794327735901,0.01,0.1,20,1e-06,1.7716580629348755,400,0.001,20.0,9.999999999999999e-06,606.0,14.794018745422363,-0.023067722097039223,100.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,-0.02321365661919117,22.420304775238037,0.01,0.1,20,1e-06,1.7716580629348755,400,0.01,20.0,9.999999999999999e-06,693.0,13.801971197128296,-0.020330987870693207,,
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,0.019696537405252457,25.49561357498169,0.01,0.1,20,1e-06,1.7716580629348755,400,0.001,20.0,9.999999999999999e-06,767.0,19.246991395950317,0.020102355629205704,80.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.023103121668100357,14.840332508087158,0.01,0.1,20,1e-06,1.7716580629348755,400,0.001,20.0,9.999999999999999e-06,466.0,11.745790004730225,-0.02293812856078148,80.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.10_n400_d3,0.0003473076212685555,10.407099485397339,0.01,0.1,20,1e-06,1.7716580629348755,400,0.01,20.0,9.999999999999999e-06,351.0,7.344487905502319,0.005136385094374418,,
Energy_Bond_LJ,GNN_Bond_LJ0.10_n400_d3,-0.023204270750284195,19.903852224349976,0.01,0.1,20,1e-06,1.7716580629348755,400,0.001,20.0,9.999999999999999e-06,469.0,11.318196535110474,-0.020173124969005585,40.0,"[8, 4, 3]"
